,Velocity,Temperature
0,-459.63509817400006,-0.12999725
1,-458.60452620500007,0.052497864
2,-457.573954236,-0.022499084
3,-456.543382267,-0.022499084
4,-455.51281029800003,-0.042495728
5,-454.48223832900004,-0.2524948
6,-453.45166636000005,-0.037498474
7,-452.42109439100005,-0.08249664
8,-451.390522422,0.07500458
9,-450.359950453,0.08000183
10,-449.329378484,0.027503967
11,-448.2988065150001,0.09500122
12,-447.26823454600003,0.14250183
13,-446.23766257700004,-0.10499573
14,-445.20709060800004,-0.11000061
15,-444.176518639,-0.10749817
16,-443.14594667000006,-0.10499573
17,-442.11537470100006,-0.21499634
18,-441.084802732,-0.022499084
19,-440.054230763,0.084999084
20,-439.023658794,0.010002136
21,-437.993086825,0.035003662
22,-436.96251485600004,-0.14499664
23,-435.93194288700005,-0.037498474
24,-434.90137091800005,-0.08999634
25,-433.870798949,0.052497864
26,-432.84022698,-0.055000305
27,-431.8096550110001,0.084999084
28,-430.779083042,-0.052497864
29,-429.74851107300003,-0.012496948
30,-428.71793910400004,0.057502747
31,-427.687367135,0.04499817
32,-426.65679516600005,0.03250122
33,-425.62622319700006,0.010002136
34,-424.59565122800007,-0.102500916
35,-423.565079259,-0.03250122
36,-422.53450729,0.06500244
37,-421.50393532100003,0.017501831
38,-420.47336335200004,-0.072502136
39,-419.44279138300004,0.16249847
40,-418.41221941400005,-0.072502136
41,-417.381647445,-0.02999878
42,-416.351075476,-0.09500122
43,-415.32050350700007,-0.07749939
44,-414.289931538,0.09750366
45,-413.259359569,-0.12749481
46,-412.22878760000003,-0.114997864
47,-411.19821563100004,-0.13749695
48,-410.167643662,0.010002136
49,-409.13707169300005,0.005004883
50,-408.10649972400006,0.06750488
51,-407.075927755,0.04750061
52,-406.045355786,-0.19249725
53,-405.014783817,0.102500916
54,-403.98421184800003,0.23750305
55,-402.95363987900004,-0.007499695
56,-401.92306791000004,-0.125
57,-400.89249594100005,0.15000153
58,-399.861923972,-0.10499573
59,-398.83135200300006,-0.03250122
60,-397.80078003400007,0.027503967
61,-396.770208065,-0.010002136
62,-395.739636096,0.0025024414
63,-394.70906412700003,0.102500916
64,-393.678492158,-0.022499084
65,-392.64792018900005,0.11250305
66,-391.61734822000005,0.012504578
67,-390.586776251,-0.29499817
